home team,away team,FTHG,FTAG,htHG,htAG,home formation,away formation,home line up,away line up,home subs,away subs,home coach,away coach,Referee,date,venue,home shots on target,away shots on target,home shots off target,away shots off target,home fouls,away fouls,home corners,away corners,home throws,away throws,result,home_ht_ft,away_ht_ft,home_double_chance,away_double_chance
Fulham,West Ham United,0,1,0,1,4-2-3-1,4-4-2,",Bernd Leno,Cedric Soares,Tosin Adarabioyo,Tim Ream,Antonee Robinson,Harrison Reed,Joao Palhinha,Bobby Reid,Andreas Pereira,Willian,Carlos Vinicius",",Michail Antonio,Danny Ings,Jarrod Bowen,Tomas Soucek,Declan Rice,Pablo Fornals,Aaron Cresswell,Angelo Ogbonna,Kurt Zouma,Vladimir Coufal,Lukasz Fabianski","Marek Rodak,Kenny Tete,Shane Duffy,Issa Diop,Tom Cairney,Manor Solomon,Sasa Lukic,Harry Wilson,Daniel James","Alphonse Areola,Ben Johnson,Thilo Kehrer,Nayef Aguerd,Emerson,Manuel Lanzini,Flynn Downes,Maxwel Cornet,Said Benrahma",Marco Silva,David Moyes,Referee: Jarred Gillett (Australia),Apr 8,Venue: Craven Cottage,3,5,2,4,10,12,11,4,23,17,A,lost at ht and ft,won at ht and won at ft,didnt win either half,won either half
Leicester City,AFC Bournemouth,0,1,0,1,3-4-3,4-4-1-1,",Daniel Iversen,Daniel Amartey,Wout Faes,Victor Kristiansen,Ricardo Pereira,Wilfred Ndidi,Boubakary Soumare,Timothy Castagne,James Maddison,Jamie Vardy,Harvey Barnes",",Dominic Solanke,Philip Billing,Dango Ouattara,Jefferson Lerma,Joe Rothwell,Ryan Christie,Lloyd Kelly,Chris Mepham,Jack Stephens,Adam Smith,Neto","Danny Ward,Jonny Evans,Harry Souttar,Luke Thomas,Nampalys Mendy,Dennis Praet,Kelechi Iheanacho,Patson Daka,Tete","Mark Travers,Matias Vina,Illia Zabarnyi,Lewis Cook,David Brooks,Marcus Tavernier,Kieffer Moore,Antoine Semenyo,Jaidon Anthony",Adam Sadler,Gary O'Neil,Referee: David Coote (England),Apr 8,Venue: King Power Stadium,3,6,7,2,10,13,6,6,27,24,A,lost at ht and ft,won at ht and won at ft,didnt win either half,won either half
Tottenham Hotspur,Brighton & Hove Albion,2,1,1,1,3-4-2-1,4-2-3-1,",Hugo Lloris,Cristian Romero,Eric Dier,Clement Lenglet,Pedro Porro,Oliver Skipp,Pierre Hojbjerg,Ivan Perisic,Dejan Kulusevski,Son Heung-min,Harry Kane",",Danny Welbeck,Kaoru Mitoma,Alexis MacAllister,Solly March,Moisés Caicedo,Pascal Gross,Pervis Estupinan,Levi Colwill,Lewis Dunk,Joel Veltman,Jason Steele","Fraser Forster,Brandon Austin,Davinson Sanchez,Japhet Tanganga,Arnaut Danjuma,Pape Matar Sarr,Alfie Devine,Romaine Mundle,Richarlison","Robert Sanchez,Adam Webster,Jan Paul Van Hecke,Yasin Abbas Ayari,Billy Gilmour,Facundo Valentin Buonanotte,Julio Cesar Enciso,Deniz Undav,Evan Ferguson",Cristian Stellini,Roberto De Zerbi,Referee: Stuart Attwell (England),Apr 8,Venue: Tottenham Hotspur Stadium,3,4,5,5,15,15,3,7,11,15,H,drew at ht and won at ft,drew at ht and lost at ft,won either half,didnt win either half
Wolverhampton Wanderers,Chelsea,1,0,1,0,4-4-2,4-3-3,",Jose Sa,Nelson Semedo,Craig Dawson,Max Kilman,Toti Gomes,Matheus Nunes,Mario Lemina,Joao Gomes,Daniel Podence,Diego Costa,Matheus Cunha",",Joao Felix,Kai Havertz,Raheem Sterling,Mateo Kovacic,Enzo Fernandez,Conor Gallagher,Marc Cucurella,Kalidou Koulibaly,Wesley Fofana,Reece James,Kepa Arrizabalaga","Daniel Bentley,Nathan Collins,Hugo Bueno,Joao Moutinho,Joe Hodge,Pedro Neto,Hwang Hee-chan,Pablo Sarabia,Adama Traore","Edouard Mendy,Benoit Badiashile,Trevoh Chalobah,Ben Chilwell,Ruben Loftus-Cheek,Denis Zakaria,Pierre-Emerick Aubameyang,Christian Pulisic,Mykhailo Mudryk",Julen Lopetegui,Frank Lampard,Referee: Peter Bankes (England),Apr 8,Venue: Molineux Stadium,4,1,3,4,14,10,8,8,13,19,H,won at ht and won at ft,lost at ht and ft,won either half,didnt win either half
Southampton,Manchester City,1,4,0,1,4-2-3-1,4-2-3-1,",Gavin Bazunu,Kyle Walker-Peters,Jan Bednarek,Armel Bella-Kotchap,Ainsley Maitland-Niles,James Ward-Prowse,Romeo Lavia,Theo Walcott,Carlos Jonas Alcaraz,Mohamed Elyounoussi,Kamal-Deen Sulemana",",Erling Haaland,Jack Grealish,Kevin De Bruyne,Riyad Mahrez,Ilkay Gundogan,Rodri,Nathan Ake,Ruben Dias,Manuel Akanji,John Stones,Ederson","Alex McCarthy,Duje Caleta-Car,Romain Perraud,Stuart Armstrong,Moussa Djenepo,Ibrahima Diallo,Paul Onuachu,Sekou Mara,Samuel Edozie","Stefan Ortega,Kyle Walker,Aymeric Laporte,Rico Lewis,Kalvin Phillips,Bernardo Silva,Sergio Gomez,Cole Palmer,Julian Alvarez",Ruben Selles,Josep Guardiola,Referee: Robert Jones (England),Apr 8,Venue: St. Mary's Stadium,1,8,2,2,6,10,0,10,10,17,A,lost at ht and ft,won at ht and won at ft,didnt win either half,won both halves
Leeds United,Crystal Palace,1,5,1,1,4-2-3-1,4-3-3,",Illan Meslier,Luke Ayling,Robin Koch,Pascal Struijk,Junior Firpo,Weston McKennie,Marc Roca,Jack Harrison,Brenden Aaronson,Luis Sinisterra,Patrick Bamford",",Jordan Ayew,Odsonne Edouard,Michael Olise,Jeffrey Schlupp,Cheick Oumar Doucoure,Eberechi Eze,Tyrick Mitchell,Marc Guehi,Joachim Andersen,Joel Ward,Sam Johnstone","Joel Robles,Liam Cooper,Rasmus Kristensen,Adam Forshaw,Crysencio Summerville,Rodrigo,Georginio Rutter,Wilfried Gnonto,Sam Greenwood","Joe Whitworth,James Tomkins,Nathaniel Clyne,Luka Milivojevic,Albert Sambi Lokonga,James McArthur,Will Hughes,Jairo Riedewald,Jean-Philippe Mateta",Javier Gracia Carlos,Roy Hodgson,Referee: Simon Hooper (England),Apr 9,Venue: Elland Road,7,8,3,4,11,8,2,4,24,25,A,drew at ht and lost at ft,drew at ht and won at ft,didnt win either half,won either half
Liverpool,Arsenal,2,2,1,2,4-3-3,4-3-3,",Alisson,Trent Alexander-Arnold,Ibrahima Konate,Virgil Van Dijk,Andy Robertson,Jordan Henderson,Fabinho,Curtis Jones,Mohamed Salah,Cody Gakpo,Diogo Jota",",Gabriel Martinelli,Gabriel Jesus,Bukayo Saka,Granit Xhaka,Thomas Partey,Martin Odegaard,Oleksandr Zinchenko,Gabriel Magalhaes,Rob Holding,Ben White,Aaron Ramsdale","Caoimhin Kelleher,Joe Gomez,Kostas Tsimikas,Joel Matip,Thiago,James Milner,Fabio Carvalho,Roberto Firmino,Darwin Nunez","Matt Turner,Kieran Tierney,Jakub Kiwior,Reuell Walters,Emile Smith-Rowe,Jorginho,Fabio Vieira,Leandro Trossard,Reiss Nelson",Jurgen Klopp,Mikel Arteta,Referee: Paul Tierney (England),Apr 9,Venue: Anfield,6,5,10,2,11,11,5,4,13,13,D,lost at ht and drew ft,won at ht and drew at ft,won either half,won either half
Aston Villa,Newcastle United,3,0,1,0,4-4-2,4-3-3,",Emiliano Martinez,Ashley Young,Ezri Konsa,Tyrone Mings,Alex Moreno,Leander Dendoncker,John McGinn,Douglas Luiz,Jacob Ramsey,Emiliano Buendia,Ollie Watkins",",Anthony Gordon,Alexander Isak,Jacob Murphy,Joelinton,Bruno Guimaraes,Joseph Willock,Dan Burn,Sven Botman,Fabian Schar,Kieran Trippier,Nick Pope","Robin Olsen,Viljami Sinisalo,Diego Carlos,Calum Chambers,Lucas Digne,Sebastian Revan,Travis Patterson,Jhon Duran,Bertrand Traore","Martin Dubravka,Jamaal Lascelles,Matt Targett,Javi Manquillo,Matt Ritchie,Miguel Almiron,Elliot Anderson,Sean Longstaff,Callum Wilson",Unai Emery,Eddie Howe,Referee: John Brooks (England),Apr 15,Venue: Villa Park,6,2,6,3,13,15,7,2,20,17,H,won at ht and won at ft,lost at ht and ft,won both halves,didnt win either half
Chelsea,Brighton & Hove Albion,1,2,1,1,4-3-3,4-2-3-1,",Kepa Arrizabalaga,Trevoh Chalobah,Wesley Fofana,Benoit Badiashile,Ben Chilwell,Conor Gallagher,Enzo Fernandez,Denis Zakaria,Christian Pulisic,Raheem Sterling,Mykhailo Mudryk",",Evan Ferguson,Kaoru Mitoma,Alexis MacAllister,Solly March,Moisés Caicedo,Pascal Gross,Pervis Estupinan,Adam Webster,Lewis Dunk,Joel Veltman,Robert Sanchez","Edouard Mendy,Reece James,Cesar Azpilicueta,Marc Cucurella,Mateo Kovacic,Mason Mount,Hakim Ziyech,Pierre-Emerick Aubameyang,Joao Felix","Tom McGill,Jan Paul Van Hecke,Odeluga Offiah,Billy Gilmour,Facundo Valentin Buonanotte,Andrew Moran,Danny Welbeck,Julio Cesar Enciso,Deniz Undav",Frank Lampard,Roberto De Zerbi,Referee: Robert Jones (England),Apr 15,Venue: Stamford Bridge,2,10,5,10,11,11,2,8,13,17,A,drew at ht and lost at ft,drew at ht and won at ft,didnt win either half,won either half
Everton,Fulham,1,3,1,1,4-4-2,4-2-3-1,",Jordan Pickford,Ben Godfrey,Michael Keane,James Tarkowski,Vitaliy Mykolenko,Alex Iwobi,James Garner,Idrissa Gueye,Dwight McNeil,Demarai Gray,Neal Maupay",",Daniel James,Harry Wilson,Andreas Pereira,Willian,Joao Palhinha,Harrison Reed,Antonee Robinson,Tim Ream,Tosin Adarabioyo,Kenny Tete,Bernd Leno","Asmir Begovic,Nathan Patterson,Mason Holgate,Yerry Mina,Conor Coady,Ishe Samuels-Smith,Tom Davies,Stanley Mills,Ellis Reco Simms","Marek Rodak,Shane Duffy,Cedric Soares,Issa Diop,Tom Cairney,Manor Solomon,Sasa Lukic,Bobby Reid,Carlos Vinicius",Sean Dyche,Marco Silva,Referee: Anthony Taylor (England),Apr 15,Venue: Goodison Park,7,7,7,5,10,6,4,7,17,23,A,drew at ht and lost at ft,drew at ht and won at ft,didnt win either half,won either half
Southampton,Crystal Palace,0,2,0,0,4-4-2,4-3-3,",Gavin Bazunu,Ainsley Maitland-Niles,Jan Bednarek,Armel Bella-Kotchap,Kyle Walker-Peters,Theo Walcott,James Ward-Prowse,Romeo Lavia,Kamal-Deen Sulemana,Carlos Jonas Alcaraz,Joe Aribo",",Jordan Ayew,Odsonne Edouard,Michael Olise,Jeffrey Schlupp,Cheick Oumar Doucoure,Eberechi Eze,Tyrick Mitchell,Marc Guehi,Joachim Andersen,Joel Ward,Sam Johnstone","Alex McCarthy,Duje Caleta-Car,Romain Perraud,Stuart Armstrong,Moussa Djenepo,Mohamed Elyounoussi,Paul Onuachu,Sekou Mara,Samuel Edozie","Owen Goodman,James Tomkins,Chris Richards,Luka Milivojevic,Albert Sambi Lokonga,James McArthur,Will Hughes,Jairo Riedewald,Jean-Philippe Mateta",Ruben Selles,Roy Hodgson,Referee: Michael Oliver (England),Apr 15,Venue: St. Mary's Stadium,4,2,4,4,6,13,6,2,17,13,A,drew at ht and lost at ft,drew at ht and won at ft,didnt win either half,won either half
Wolverhampton Wanderers,Brentford,2,0,1,0,4-4-2,4-3-3,",Jose Sa,Nelson Semedo,Craig Dawson,Max Kilman,Toti Gomes,Matheus Nunes,Joao Gomes,Mario Lemina,Pablo Sarabia,Matheus Cunha,Diego Costa",",Kevin Schade,Ivan Toney,Bryan Mbeumo,Mathias Jensen,Christian Norgaard,Josh Dasilva,Rico Henry,Ben Mee,Ethan Pinnock,Aaron Hickey,David Raya","Daniel Bentley,Nathan Collins,Hugo Bueno,Joao Moutinho,Joe Hodge,Pedro Neto,Daniel Podence,Hwang Hee-chan,Adama Traore","Thomas Strakosha,Zanka,Mads Roerslev Rasmussen,Yoane Wissa,Frank Onyeka,Shandon Baptiste,Vitaly Janelt,Saman Ghoddos,Mikkel Damsgaard",Julen Lopetegui,Thomas Frank,Referee: Paul Tierney (England),Apr 15,Venue: Molineux Stadium,9,3,0,3,12,8,5,2,16,26,H,won at ht and won at ft,lost at ht and ft,won both halves,didnt win either half
Tottenham Hotspur,AFC Bournemouth,2,3,1,1,3-4-2-1,3-4-3,",Hugo Lloris,Cristian Romero,Eric Dier,Clement Lenglet,Pedro Porro,Oliver Skipp,Pierre Hojbjerg,Ivan Perisic,Dejan Kulusevski,Son Heung-min,Harry Kane",",Philip Billing,Dominic Solanke,Ryan Christie,Matias Vina,Jefferson Lerma,Joe Rothwell,Marcus Tavernier,Lloyd Kelly,Jack Stephens,Chris Mepham,Neto","Fraser Forster,Brandon Austin,Davinson Sanchez,Japhet Tanganga,George Abbott,Arnaut Danjuma,Pape Matar Sarr,Alfie Devine,Richarlison","Mark Travers,Adam Smith,Marcos Senesi,Illia Zabarnyi,Lewis Cook,Dango Ouattara,Kieffer Moore,Antoine Semenyo,Jaidon Anthony",Cristian Stellini,Gary O'Neil,Referee: Andrew Madley (England),Apr 15,Venue: Tottenham Hotspur Stadium,8,6,9,2,8,9,8,1,21,9,A,drew at ht and lost at ft,drew at ht and won at ft,didnt win either half,won either half
Manchester City,Leicester City,3,1,3,0,3-2-4-1,3-4-2-1,",Ederson,Kyle Walker,Ruben Dias,Aymeric Laporte,John Stones,Rodri,Riyad Mahrez,Kevin De Bruyne,Bernardo Silva,Jack Grealish,Erling Haaland",",Jamie Vardy,Kiernan Dewsbury-Hall,James Maddison,Victor Kristiansen,Youri Tielemans,Wilfred Ndidi,Timothy Castagne,Wout Faes,Caglar Soyuncu,Harry Souttar,Daniel Iversen","Stefan Ortega,Nathan Ake,Manuel Akanji,Rico Lewis,Kalvin Phillips,Ilkay Gundogan,Sergio Gomez,Cole Palmer,Julian Alvarez","Danny Ward,Daniel Amartey,Luke Thomas,Nampalys Mendy,Dennis Praet,Wanya Marcal,Kelechi Iheanacho,Patson Daka,Tete",Josep Guardiola,Dean Smith,Referee: Darren England (England),Apr 15,Venue: Etihad Stadium,4,4,4,3,8,9,6,2,18,15,H,won at ht and won at ft,lost at ht and ft,won either half,won either half
West Ham United,Arsenal,2,2,1,2,4-2-3-1,4-3-3,",Lukasz Fabianski,Vladimir Coufal,Thilo Kehrer,Kurt Zouma,Aaron Cresswell,Tomas Soucek,Declan Rice,Jarrod Bowen,Lucas Paqueta,Said Benrahma,Michail Antonio",",Gabriel Martinelli,Gabriel Jesus,Bukayo Saka,Granit Xhaka,Thomas Partey,Martin Odegaard,Kieran Tierney,Gabriel Magalhaes,Rob Holding,Ben White,Aaron Ramsdale","Alphonse Areola,Joseph Tetteh Anang,Ben Johnson,Emerson,Pablo Fornals,Manuel Lanzini,Flynn Downes,Maxwel Cornet,Danny Ings","Matt Turner,Jakub Kiwior,Reuell Walters,Emile Smith-Rowe,Jorginho,Fabio Vieira,Eddie Nketiah,Leandro Trossard,Reiss Nelson",David Moyes,Mikel Arteta,Referee: David Coote (England),Apr 16,Venue: London Stadium,3,5,5,3,11,8,7,2,25,21,D,lost at ht and drew ft,won at ht and drew at ft,won either half,won either half
Nottingham Forest,Manchester United,0,2,0,1,3-4-1-2,4-2-3-1,",Keylor Navas,Felipe,Moussa Niakhate,Scott McKenna,Neco Williams,Remo Freuler,Danilo,Renan Lodi,Morgan Gibbs-White,Brennan Johnson,Taiwo Awoniyi",",Anthony Martial,Jadon Sancho,Bruno Fernandes,Antony,Christian Eriksen,Casemiro,Diogo Dalot,Victor Lindelof,Harry Maguire,Aaron Wan-Bissaka,David De Gea","Wayne Hennessey,Joe Worrall,Harry Toffolo,Orel Mangala,Jonjo Shelvey,Jesse Lingard,Sam Surridge,Emmanuel Dennis,Andre Ayew","Jack Butland,Brandon Williams,Marc Jurado,Fred,Facundo Pellistri,Zidane Iqbal,Wout Weghorst,Anthony Elanga,",Steve Cooper,Erik ten Hag,Referee: Simon Hooper (England),Apr 16,"Venue: City Ground, Nottingham",0,8,5,8,9,9,4,9,18,25,A,lost at ht and ft,won at ht and won at ft,didnt win either half,won both halves
Leeds United,Liverpool,1,6,0,2,4-2-3-1,4-3-3,",Illan Meslier,Rasmus Kristensen,Robin Koch,Pascal Struijk,Junior Firpo,Weston McKennie,Marc Roca,Jack Harrison,Brenden Aaronson,Luis Sinisterra,Rodrigo",",Diogo Jota,Cody Gakpo,Mohamed Salah,Curtis Jones,Fabinho,Jordan Henderson,Andy Robertson,Virgil Van Dijk,Ibrahima Konate,Trent Alexander-Arnold,Alisson","Joel Robles,Luke Ayling,Liam Cooper,Maximilian Wober,Adam Forshaw,Crysencio Summerville,Georginio Rutter,Wilfried Gnonto,Sam Greenwood","Caoimhin Kelleher,Kostas Tsimikas,Joel Matip,Thiago,James Milner,Harvey Elliott,Roberto Firmino,Luis Diaz,Darwin Nunez",Javier Gracia Carlos,Jurgen Klopp,Referee: Craig Pawson (England),Apr 17,Venue: Elland Road,3,7,5,4,6,12,4,2,15,22,A,lost at ht and ft,won at ht and won at ft,didnt win either half,won both halves
Arsenal,Southampton,3,3,1,2,4-3-3,4-4-2,",Aaron Ramsdale,Ben White,Rob Holding,Gabriel Magalhaes,Oleksandr Zinchenko,Martin Odegaard,Thomas Partey,Fabio Vieira,Bukayo Saka,Gabriel Jesus,Gabriel Martinelli",",Carlos Jonas Alcaraz,Theo Walcott,Adam Armstrong,Romeo Lavia,James Ward-Prowse,Mohamed Elyounoussi,Romain Perraud,Armel Bella-Kotchap,Jan Bednarek,Kyle Walker-Peters,Gavin Bazunu","Matt Turner,Kieran Tierney,Jakub Kiwior,Reuell Walters,Emile Smith-Rowe,Jorginho,Eddie Nketiah,Leandro Trossard,Reiss Nelson","Alex McCarthy,Lyanco,Duje Caleta-Car,Joe Aribo,Stuart Armstrong,Ibrahima Diallo,Mislav Orsic,Paul Onuachu,Kamal-Deen Sulemana",Mikel Arteta,Ruben Selles,Referee: Simon Hooper (England),Apr 21,Venue: Emirates Stadium,6,6,11,1,10,14,7,2,24,9,D,lost at ht and drew ft,won at ht and drew at ft,won either half,won either half
Fulham,Leeds United,2,1,0,0,4-2-3-1,4-2-3-1,",Bernd Leno,Kenny Tete,Tosin Adarabioyo,Tim Ream,Antonee Robinson,Harrison Reed,Joao Palhinha,Harry Wilson,Andreas Pereira,Willian,Bobby Reid",",Rodrigo,Jack Harrison,Brenden Aaronson,Crysencio Summerville,Weston McKennie,Marc Roca,Maximilian Wober,Liam Cooper,Robin Koch,Rasmus Kristensen,Illan Meslier","Marek Rodak,Shane Duffy,Cedric Soares,Issa Diop,Neeskens Kebano,Tom Cairney,Manor Solomon,Sasa Lukic,Carlos Vinicius","Joel Robles,Luke Ayling,Junior Firpo,Pascal Struijk,Adam Forshaw,Patrick Bamford,Luis Sinisterra,Georginio Rutter,Wilfried Gnonto",Marco Silva,Javier Gracia Carlos,Referee: Peter Bankes (England),Apr 22,Venue: Craven Cottage,5,2,3,4,10,15,8,6,22,12,H,drew at ht and won at ft,drew at ht and lost at ft,won either half,didnt win either half
Brentford,Aston Villa,1,1,0,0,4-3-3,4-2-3-1,",David Raya,Aaron Hickey,Ethan Pinnock,Ben Mee,Rico Henry,Mathias Jensen,Christian Norgaard,Vitaly Janelt,Bryan Mbeumo,Ivan Toney,Kevin Schade",",Ollie Watkins,Emiliano Buendia,John McGinn,Jacob Ramsey,Douglas Luiz,Leander Dendoncker,Alex Moreno,Tyrone Mings,Ezri Konsa,Ashley Young,Emiliano Martinez","Matthew Cox,Zanka,Mads Roerslev Rasmussen,Josh Dasilva,Yoane Wissa,Frank Onyeka,Shandon Baptiste,Saman Ghoddos,Mikkel Damsgaard","Robin Olsen,Viljami Sinisalo,Diego Carlos,Calum Chambers,Lucas Digne,Sebastian Revan,Travis Patterson,Jhon Duran,Bertrand Traore",Thomas Frank,Unai Emery,Referee: Michael Salisbury (England),Apr 22,Venue: Gtech Community Stadium,5,2,6,11,12,8,8,4,20,8,D,drew at ht and ft,drew at ht and ft,didnt win either half,didnt win either half
Crystal Palace,Everton,0,0,0,0,4-3-3,4-4-2,",Sam Johnstone,Joel Ward,Joachim Andersen,Marc Guehi,Tyrick Mitchell,Eberechi Eze,Cheick Oumar Doucoure,Jeffrey Schlupp,Michael Olise,Odsonne Edouard,Jordan Ayew",",Demarai Gray,Dominic Calvert-Lewin,Dwight McNeil,Idrissa Gueye,James Garner,Alex Iwobi,Vitaliy Mykolenko,James Tarkowski,Michael Keane,Mason Holgate,Jordan Pickford","Vicente Guaita,James Tomkins,Chris Richards,Luka Milivojevic,Albert Sambi Lokonga,James McArthur,Will Hughes,Jairo Riedewald,Jean-Philippe Mateta","Asmir Begovic,Andy Lonergan,Nathan Patterson,Yerry Mina,Ben Godfrey,Conor Coady,Tom Davies,Neal Maupay,Ellis Reco Simms",Roy Hodgson,Sean Dyche,Referee: John Brooks (England),Apr 22,Venue: Selhurst Park,2,5,5,4,12,15,8,1,28,23,D,drew at ht and ft,drew at ht and ft,didnt win either half,didnt win either half
Leicester City,Wolverhampton Wanderers,2,1,1,1,4-2-3-1,4-4-2,",Daniel Iversen,Timothy Castagne,Wout Faes,Caglar Soyuncu,Victor Kristiansen,Boubakary Soumare,Youri Tielemans,Tete,Kelechi Iheanacho,Patson Daka,Jamie Vardy",",Matheus Cunha,Diego Costa,Pablo Sarabia,Mario Lemina,Joao Gomes,Matheus Nunes,Toti Gomes,Max Kilman,Craig Dawson,Nelson Semedo,Jose Sa","Danny Ward,Harry Souttar,Daniel Amartey,Luke Thomas,Kiernan Dewsbury-Hall,Nampalys Mendy,Wilfred Ndidi,Dennis Praet,Wanya Marcal","Daniel Bentley,Nathan Collins,Hugo Bueno,Ruben Neves,Joao Moutinho,Pedro Neto,Daniel Podence,Hwang Hee-chan,Adama Traore",Dean Smith,Julen Lopetegui,Referee: Andrew Madley (England),Apr 22,Venue: King Power Stadium,8,3,3,7,17,16,1,7,18,22,H,drew at ht and won at ft,drew at ht and lost at ft,won either half,didnt win either half
Liverpool,Nottingham Forest,3,2,0,0,4-3-3,3-4-2-1,",Alisson,Trent Alexander-Arnold,Ibrahima Konate,Virgil Van Dijk,Andy Robertson,Jordan Henderson,Fabinho,Curtis Jones,Mohamed Salah,Cody Gakpo,Diogo Jota",",Taiwo Awoniyi,Remo Freuler,Morgan Gibbs-White,Renan Lodi,Orel Mangala,Danilo,Neco Williams,Scott McKenna,Moussa Niakhate,Felipe,Keylor Navas","Caoimhin Kelleher,Joe Gomez,Kostas Tsimikas,Joel Matip,Thiago,James Milner,Harvey Elliott,Luis Diaz,Darwin Nunez","Wayne Hennessey,Joe Worrall,Harry Toffolo,Jesse Lingard,Oliver Hammond,Sam Surridge,Brennan Johnson,Emmanuel Dennis,Andre Ayew",Jurgen Klopp,Steve Cooper,Referee: Michael Oliver (England),Apr 22,Venue: Anfield,6,5,6,5,9,12,9,3,28,18,H,drew at ht and won at ft,drew at ht and lost at ft,won either half,didnt win either half
AFC Bournemouth,West Ham United,0,4,0,3,3-4-2-1,4-2-3-1,",Neto,Chris Mepham,Jack Stephens,Lloyd Kelly,Adam Smith,Joe Rothwell,Jefferson Lerma,Marcus Tavernier,Ryan Christie,Philip Billing,Dominic Solanke",",Michail Antonio,Said Benrahma,Lucas Paqueta,Jarrod Bowen,Tomas Soucek,Declan Rice,Aaron Cresswell,Nayef Aguerd,Kurt Zouma,Vladimir Coufal,Lukasz Fabianski","Mark Travers,Matias Vina,Marcos Senesi,Illia Zabarnyi,Lewis Cook,Dango Ouattara,Kieffer Moore,Antoine Semenyo,Jaidon Anthony","Alphonse Areola,Angelo Ogbonna,Thilo Kehrer,Emerson,Pablo Fornals,Manuel Lanzini,Flynn Downes,Maxwel Cornet,Danny Ings",Gary O'Neil,David Moyes,Referee: Anthony Taylor (England),Apr 23,Venue: Vitality Stadium,5,10,6,4,7,8,8,5,24,13,A,lost at ht and ft,won at ht and won at ft,didnt win either half,won both halves
Newcastle United,Tottenham Hotspur,6,1,5,0,4-3-3,4-3-3,",Nick Pope,Kieran Trippier,Fabian Schar,Sven Botman,Dan Burn,Sean Longstaff,Bruno Guimaraes,Joseph Willock,Jacob Murphy,Alexander Isak,Joelinton",",Son Heung-min,Harry Kane,Dejan Kulusevski,Pierre Hojbjerg,Pape Matar Sarr,Oliver Skipp,Ivan Perisic,Eric Dier,Cristian Romero,Pedro Porro,Hugo Lloris","Martin Dubravka,Jamaal Lascelles,Matt Targett,Javi Manquillo,Anthony Gordon,Matt Ritchie,Miguel Almiron,Elliot Anderson,Callum Wilson","Fraser Forster,Davinson Sanchez,Japhet Tanganga,Ben Davies,Clement Lenglet,Arnaut Danjuma,Alfie Devine,Romaine Mundle,Richarlison",Eddie Howe,Cristian Stellini,Referee: David Coote (England),Apr 23,Venue: St James' Park,8,3,5,5,7,13,9,3,11,21,H,won at ht and won at ft,lost at ht and ft,won either half,didnt win either half
Wolverhampton Wanderers,Crystal Palace,2,0,1,0,4-4-2,4-3-3,",Jose Sa,Nelson Semedo,Craig Dawson,Max Kilman,Hugo Bueno,Matheus Nunes,Ruben Neves,Mario Lemina,Hwang Hee-chan,Matheus Cunha,Diego Costa",",Eberechi Eze,Jordan Ayew,Michael Olise,Will Hughes,Albert Sambi Lokonga,Luka Milivojevic,Tyrick Mitchell,Marc Guehi,Joachim Andersen,Chris Richards,Sam Johnstone","Daniel Bentley,Nathan Collins,Toti Gomes,Joao Moutinho,Joao Gomes,Pedro Neto,Daniel Podence,Pablo Sarabia,Adama Traore","Vicente Guaita,Joel Ward,James Tomkins,Jeffrey Schlupp,James McArthur,Cheick Oumar Doucoure,Jairo Riedewald,Jean-Philippe Mateta,Odsonne Edouard",Julen Lopetegui,Roy Hodgson,Referee: Robert Jones (England),Apr 25,Venue: Molineux Stadium,3,4,4,4,13,14,6,11,12,25,H,won at ht and won at ft,lost at ht and ft,won both halves,didnt win either half
Aston Villa,Fulham,1,0,1,0,4-2-3-1,4-2-3-1,",Emiliano Martinez,Ashley Young,Ezri Konsa,Tyrone Mings,Alex Moreno,Leander Dendoncker,Douglas Luiz,John McGinn,Emiliano Buendia,Jacob Ramsey,Ollie Watkins",",Daniel James,Manor Solomon,Andreas Pereira,Harry Wilson,Joao Palhinha,Harrison Reed,Antonee Robinson,Tim Ream,Tosin Adarabioyo,Kenny Tete,Bernd Leno","Robin Olsen,Viljami Sinisalo,Diego Carlos,Calum Chambers,Lucas Digne,Sebastian Revan,Jhon Duran,Tommi Dylan O Reilly,Bertrand Traore","Marek Rodak,Shane Duffy,Cedric Soares,Issa Diop,Neeskens Kebano,Tom Cairney,Sasa Lukic,Bobby Reid,Carlos Vinicius",Unai Emery,Marco Silva,Referee: Thomas Bramall (England),Apr 25,Venue: Villa Park,3,0,4,1,6,18,8,2,15,17,H,won at ht and won at ft,lost at ht and ft,won either half,didnt win either half
